01082019;220;A;USD;3,8290;3,8296;1,0000;1,0000
02082019;220;A;USD;3,8733;3,8739;1,0000;1,0000
05082019;220;A;USD;3,9398;3,9404;1,0000;1,0000
06082019;220;A;USD;3,9637;3,9643;1,0000;1,0000
07082019;220;A;USD;3,9844;3,9850;1,0000;1,0000
08082019;220;A;USD;3,9403;3,9409;1,0000;1,0000
09082019;220;A;USD;3,9356;3,9362;1,0000;1,0000
12082019;220;A;USD;3,9960;3,9966;1,0000;1,0000
13082019;220;A;USD;3,9730;3,9736;1,0000;1,0000
14082019;220;A;USD;4,0068;4,0074;1,0000;1,0000
15082019;220;A;USD;4,0182;4,0188;1,0000;1,0000
16082019;220;A;USD;3,9927;3,9933;1,0000;1,0000
19082019;220;A;USD;4,0268;4,0274;1,0000;1,0000
20082019;220;A;USD;4,0419;4,0425;1,0000;1,0000
21082019;220;A;USD;4,0248;4,0254;1,0000;1,0000
22082019;220;A;USD;4,0438;4,0444;1,0000;1,0000
23082019;220;A;USD;4,0845;4,0851;1,0000;1,0000
26082019;220;A;USD;4,1361;4,1367;1,0000;1,0000
27082019;220;A;USD;4,1551;4,1557;1,0000;1,0000
28082019;220;A;USD;4,1553;4,1559;1,0000;1,0000
29082019;220;A;USD;4,1674;4,1680;1,0000;1,0000
30082019;220;A;USD;4,1379;4,1385;1,0000;1,0000
02092019;220;A;USD;4,1575;4,1581;1,0000;1,0000
03092019;220;A;USD;4,1651;4,1657;1,0000;1,0000
04092019;220;A;USD;4,1243;4,1249;1,0000;1,0000
05092019;220;A;USD;4,0853;4,0859;1,0000;1,0000
06092019;220;A;USD;4,0644;4,0650;1,0000;1,0000
09092019;220;A;USD;4,0760;4,0766;1,0000;1,0000
10092019;220;A;USD;4,1102;4,1108;1,0000;1,0000
11092019;220;A;USD;4,0625;4,0631;1,0000;1,0000
12092019;220;A;USD;4,0488;4,0494;1,0000;1,0000
13092019;220;A;USD;4,0610;4,0616;1,0000;1,0000
16092019;220;A;USD;4,0866;4,0872;1,0000;1,0000
17092019;220;A;USD;4,0992;4,0998;1,0000;1,0000
18092019;220;A;USD;4,0966;4,0972;1,0000;1,0000
